request_id,doctor_id,leave_type,start_date,end_date,duration_days,status
LR0069,DR015,Conference Leave,2024-02-17,2024-02-18,2,APPROVED
LR0070,DR016,Medical Leave,2025-06-25,2025-06-27,3,APPROVED
LR0071,DR016,Medical Leave,2025-10-18,2025-10-19,2,APPROVED
LR0072,DR016,Casual Leave,2025-04-20,2025-04-20,1,APPROVED
LR0073,DR016,Personal Leave,2025-07-25,2025-07-27,3,REJECTED
LR0074,DR016,Medical Leave,2025-09-03,2025-09-03,1,APPROVED
LR0075,DR016,Casual Leave,2025-06-01,2025-06-03,3,APPROVED
LR0076,DR017,Personal Leave,2024-01-17,2024-01-19,3,APPROVED
LR0077,DR017,Medical Leave,2025-01-04,2025-01-06,3,APPROVED
LR0078,DR017,Casual Leave,2025-03-10,2025-03-13,4,APPROVED
LR0079,DR017,Personal Leave,2024-10-13,2024-10-17,5,APPROVED
LR0080,DR017,Conference Leave,2025-02-06,2025-02-07,2,APPROVED
LR0081,DR017,Casual Leave,2024-08-20,2024-08-24,5,APPROVED
LR0082,DR017,Personal Leave,2025-05-24,2025-05-27,4,APPROVED
LR0083,DR018,Personal Leave,2024-07-02,2024-07-05,4,APPROVED
LR0084,DR018,Personal Leave,2025-12-14,2025-12-17,4,APPROVED
LR0085,DR018,Conference Leave,2025-08-22,2025-08-24,3,APPROVED
LR0086,DR018,Personal Leave,2025-01-17,2025-01-19,3,APPROVED
LR0087,DR018,Casual Leave,2024-05-24,2024-05-24,1,REJECTED
LR0088,DR018,Medical Leave,2024-09-13,2024-09-13,1,APPROVED
LR0089,DR018,Casual Leave,2025-12-06,2025-12-07,2,APPROVED
LR0090,DR019,Casual Leave,2024-01-12,2024-01-15,4,APPROVED
LR0091,DR019,Conference Leave,2024-05-07,2024-05-07,1,APPROVED
LR0092,DR019,Medical Leave,2025-09-10,2025-09-10,1,REJECTED
LR0093,DR019,Medical Leave,2025-12-07,2025-12-07,1,APPROVED
LR0094,DR019,Personal Leave,2024-02-15,2024-02-18,4,APPROVED
LR0095,DR019,Conference Leave,2025-08-14,2025-08-18,5,APPROVED
LR0096,DR020,Medical Leave,2025-10-05,2025-10-08,4,APPROVED
LR0097,DR020,Personal Leave,2025-03-08,2025-03-12,5,APPROVED
LR0098,DR020,Conference Leave,2024-08-02,2024-08-05,4,APPROVED
LR0099,DR021,Conference Leave,2025-09-25,2025-09-28,4,APPROVED
LR0100,DR021,Casual Leave,2024-07-11,2024-07-15,5,APPROVED
LR0101,DR021,Medical Leave,2025-11-06,2025-11-10,5,APPROVED
LR0102,DR021,Casual Leave,2024-03-11,2024-03-12,2,APPROVED
LR0103,DR021,Medical Leave,2025-03-05,2025-03-09,5,APPROVED
LR0104,DR021,Conference Leave,2024-08-09,2024-08-13,5,APPROVED
LR0105,DR021,Medical Leave,2025-05-18,2025-05-21,4,APPROVED
LR0106,DR022,Personal Leave,2024-09-03,2024-09-03,1,APPROVED
LR0107,DR022,Conference Leave,2024-04-02,2024-04-05,4,APPROVED
LR0108,DR022,Casual Leave,2024-07-08,2024-07-10,3,APPROVED
LR0109,DR022,Medical Leave,2025-06-17,2025-06-19,3,REJECTED
LR0110,DR022,Personal Leave,2024-10-16,2024-10-20,5,APPROVED
LR0111,DR022,Personal Leave,2025-08-07,2025-08-11,5,APPROVED
LR0112,DR022,Medical Leave,2024-03-07,2024-03-08,2,APPROVED
LR0113,DR023,Conference Leave,2024-07-07,2024-07-10,4,APPROVED
LR0114,DR023,Casual Leave,2025-05-02,2025-05-05,4,APPROVED
LR0115,DR023,Casual Leave,2024-07-06,2024-07-06,1,APPROVED
LR0116,DR023,Conference Leave,2024-01-09,2024-01-10,2,REJECTED
LR0117,DR023,Medical Leave,2025-03-06,2025-03-09,4,APPROVED
LR0118,DR023,Medical Leave,2024-11-14,2024-11-18,5,APPROVED
LR0119,DR024,Medical Leave,2025-06-20,2025-06-24,5,APPROVED
LR0120,DR024,Casual Leave,2025-12-15,2025-12-17,3,APPROVED
LR0121,DR024,Casual Leave,2025-11-11,2025-11-13,3,APPROVED
LR0122,DR025,Personal Leave,2024-05-17,2024-05-21,5,APPROVED
LR0123,DR025,Casual Leave,2024-09-07,2024-09-10,4,APPROVED
LR0124,DR025,Casual Leave,2025-01-22,2025-01-23,2,APPROVED
